,3M CO,MMM,Medical Equipment Manufacturing,31-Dec-16,Climate Risk,S&P 500,View Report
Add,NISOURCE INC/DE,NI,Electric Power & Gas Utilities,31-Dec-16,Climate Risk,S&P 500,View Report
Add,NOBLE CORP PLC,NE,Oil & Gas,31-Dec-16,Climate Risk,S&P 500,View Report
Add,NOBLE ENERGY INC,NBL,Oil & Gas,31-Dec-16,Climate Risk,S&P 500,View Report
Add,NORDSTROM INC,JWN,Apparel & Textiles,28-Jan-17,Climate Risk,S&P 500,No disclosure
Add,NORFOLK SOUTHERN CORP,NSC,Transportation,31-Dec-16,Climate Risk,S&P 500,View Report
Add,NORTHERN TRUST CORP,NTRS,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,NORTHROP GRUMMAN CORP /DE/,NOC,Aerospace & Defense,31-Dec-16,Climate Risk,S&P 500,View Report
Add,"NRG ENERGY, INC.",NRG,Electric Power & Gas Utilities,31-Dec-16,Climate Risk,S&P 500,View Report
Add,NUCOR CORP,NUE,Manufacturing & Industrial Materials,31-Dec-16,Climate Risk,S&P 500,View Report
Add,NVIDIA CORP,NVDA,Electronics,29-Jan-17,Climate Risk,S&P 500,View Report
Add,O REILLY AUTOMOTIVE INC,ORLY,Retail,31-Dec-16,Climate Risk,S&P 500,View Report
Add,OCCIDENTAL PETROLEUM CORP /DE/,OXY,Oil & Gas,31-Dec-16,Climate Risk,S&P 500,View Report
Add,OMNICOM GROUP INC.,OMC,Services - Business-Related,31-Dec-16,Climate Risk,S&P 500,View Report
Add,ONEOK INC /NEW/,OKE,Electric Power & Gas Utilities,31-Dec-16,Climate Risk,S&P 500,View Report
Add,ORACLE CORP,ORCL,Information Technology,31-May-17,Climate Risk,S&P 500,View Report
Add,OWENS ILLINOIS INC /DE/,OI,Consumer Goods,31-Dec-16,Climate Risk,S&P 500,View Report
Add,PACCAR INC,PCAR,Automotive,31-Dec-16,Climate Risk,S&P 500,View Report
Add,PARKER HANNIFIN CORP,PH,Manufacturing & Industrial Materials,30-Jun-17,Climate Risk,S&P 500,View Report
Add,"PATTERSON COMPANIES, INC.",PDCO,Wholesale,29-Apr-17,Climate Risk,S&P 500,No disclosure
Add,PAYCHEX INC,PAYX,Services - Business-Related,31-May-17,Climate Risk,S&P 500,View Report
Add,"PAYPAL HOLDINGS, INC.",PYPL,Services - Business-Related,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,PENTAIR PLC,PNR,Manufacturing & Industrial Materials,31-Dec-16,Climate Risk,S&P 500,View Report
Add,"PEOPLE'S UNITED FINANCIAL, INC.",PBCT,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,PEPSICO INC,PEP,Food & Beverages,31-Dec-16,Climate Risk,S&P 500,View Report
Add,PERKINELMER INC,PKI,Medical Equipment Manufacturing,1-Jan-17,Climate Risk,S&P 500,No disclosure
Add,PERRIGO CO PLC,PRGO,Pharmaceuticals/Health Care,31-Dec-16,Climate Risk,S&P 500,View Report
Add,PFIZER INC,PFE,Pharmaceuticals/Health Care,31-Dec-16,Climate Risk,S&P 500,View Report
Add,PG&E CORP,PCG,Electric Power & Gas Utilities,31-Dec-16,Climate Risk,S&P 500,View Report
Add,PHILIP MORRIS INTERNATIONAL INC.,PM,Consumer Goods,31-Dec-16,Climate Risk,S&P 500,View Report
Add,PHILLIPS 66,PSX,Oil & Gas,31-Dec-16,Climate Risk,S&P 500,View Report
Add,PINNACLE WEST CAPITAL CORP,PNW,Electric Power & Gas Utilities,31-Dec-16,Climate Risk,S&P 500,View Report
Add,PIONEER NATURAL RESOURCES CO,PXD,Oil & Gas,31-Dec-16,Climate Risk,S&P 500,View Report
Add,PITNEY BOWES INC /DE/,PBI,Manufacturing & Industrial Materials,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,"PNC FINANCIAL SERVICES GROUP, INC.",PNC,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,View Report
Add,PPG INDUSTRIES INC,PPG,Chemicals,31-Dec-16,Climate Risk,S&P 500,View Report
Add,PPL CORP,PPL,Electric Power & Gas Utilities,31-Dec-16,Climate Risk,S&P 500,View Report
Add,PRAXAIR INC,PX,Chemicals,31-Dec-16,Climate Risk,S&P 500,View Report
Add,PRICE T ROWE GROUP INC,TROW,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,PRICELINE GROUP INC.,PCLN,Services - Business-Related,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,PRINCIPAL FINANCIAL GROUP INC,PFG,Insurance Services,31-Dec-16,Climate Risk,S&P 500,View Report
Add,PROCTER & GAMBLE CO,PG,Consumer Goods,30-Jun-17,Climate Risk,S&P 500,View Report
Add,PROGRESSIVE CORP/OH/,PGR,Insurance Services,31-Dec-16,Climate Risk,S&P 500,View Report
Add,"PROLOGIS, INC.",PLD,Real Estate Finance/Property Development/Construction,31-Dec-16,Climate Risk,S&P 500,View Report
Add,PRUDENTIAL FINANCIAL INC,PRU,Insurance Services,31-Dec-16,Climate Risk,S&P 500,View Report
Add,PUBLIC SERVICE ENTERPRISE GROUP INC,PEG,Electric Power & Gas Utilities,31-Dec-16,Climate Risk,S&P 500,View Report
Add,PUBLIC STORAGE,PSA,Real Estate Finance/Property Development/Construction,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,PULTEGROUP INC/MI/,PHM,Real Estate Finance/Property Development/Construction,31-Dec-16,Climate Risk,S&P 500,View Report
Add,PVH CORP. /DE/,PVH,Apparel & Textiles,29-Jan-17,Climate Risk,S&P 500,View Report
Add,"QEP RESOURCES, INC.",QEP,Oil & Gas,31-Dec-16,Climate Risk,S&P 500,View Report
Add,"QORVO, INC.",QRVO,Electronics,1-Apr-17,Climate Risk,S&P 500,View Report
Add,QUANTA SERVICES INC,PWR,Real Estate Finance/Property Development/Construction,31-Dec-16,Climate Risk,S&P 500,View Report
Add,QUEST DIAGNOSTICS INC,DGX,Pharmaceuticals/Health Care,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,RALPH LAUREN CORP,RL,Apparel & Textiles,1-Apr-17,Climate Risk,S&P 500,View Report
Add,RANGE RESOURCES CORP,RRC,Oil & Gas,31-Dec-16,Climate Risk,S&P 500,View Report
Add,RAYTHEON CO/,RTN,Aerospace & Defense,31-Dec-16,Climate Risk,S&P 500,View Report
Add,REALTY INCOME CORP,O,Real Estate Finance/Property Development/Construction,31-Dec-16,Climate Risk,S&P 500,View Report
Add,RED HAT INC,RHT,Information Technology,28-Feb-17,Climate Risk,S&P 500,No disclosure
Add,REGENCY CENTERS CORP,REG,Real Estate Finance/Property Development/Construction,31-Dec-16,Climate Risk,S&P 500,View Report
Add,REGENERON PHARMACEUTICALS INC,REGN,Pharmaceuticals/Health Care,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,REGIONS FINANCIAL CORP,RF,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,View Report
Add,"REPUBLIC SERVICES, INC.",RSG,Waste Management,31-Dec-16,Climate Risk,S&P 500,View Report
Add,REYNOLDS AMERICAN INC,RAI,Consumer Goods,31-Dec-16,Climate Risk,S&P 500,View Report
Add,ROPER TECHNOLOGIES INC,ROP,Manufacturing & Industrial Materials,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,ROSS STORES INC,ROST,Apparel & Textiles,28-Jan-17,Climate Risk,S&P 500,View Report
Add,ROYAL CARIBBEAN CRUISES LTD,RCL,Hospitality & Tourism,31-Dec-16,Climate Risk,S&P 500,View Report
Add,RYDER SYSTEM INC,R,Services - Other,31-Dec-16,Climate Risk,S&P 500,View Report
Add,S&P GLOBAL INC.,SPGI,Services - Business-Related,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,SALESFORCE COM INC,CRM,Information Technology,31-Jan-17,Climate Risk,S&P 500,View Report
Add,SCANA CORP,SCG,Electric Power & Gas Utilities,31-Dec-16,Climate Risk,S&P 500,View Report
Add,SCHLUMBERGER LIMITED/NV,SLB,Oil & Gas,31-Dec-16,Climate Risk,S&P 500,View Report
Add,SCHWAB CHARLES CORP,SCHW,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,"SCRIPPS NETWORKS INTERACTIVE, INC.",SNI,Media,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,SEAGATE TECHNOLOGY PLC,STX,Information Technology,30-Jun-17,Climate Risk,S&P 500,No disclosure
Add,SEALED AIR CORP/DE,SEE,Chemicals,31-Dec-16,Climate Risk,S&P 500,View Report
Add,SEMPRA ENERGY,SRE,Electric Power & Gas Utilities,31-Dec-16,Climate Risk,S&P 500,View Report
Add,SHERWIN WILLIAMS CO,SHW,Retail,31-Dec-16,Climate Risk,S&P 500,View Report
Add,SIGNET JEWELERS LTD,SIG,Retail,28-Jan-17,Climate Risk,S&P 500,View Report
Add,SIMON PROPERTY GROUP INC /DE/,SPG,Real Estate Finance/Property Development/Construction,31-Dec-16,Climate Risk,S&P 500,View Report
Add,SL GREEN REALTY CORP,SLG,Real Estate Finance/Property Development/Construction,31-Dec-16,Climate Risk,S&P 500,View Report
,SNAP-ON INC,SNA,Manufacturing & Industrial Materials,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,SOUTHERN CO,SO,Electric Power & Gas Utilities,31-Dec-16,Climate Risk,S&P 500,View Report
Add,SOUTHWEST AIRLINES CO,LUV,Transportation,31-Dec-16,Climate Risk,S&P 500,View Report
Add,SOUTHWESTERN ENERGY CO,SWN,Oil & Gas,31-Dec-16,Climate Risk,S&P 500,View Report
Add,SPECTRA ENERGY CORP.,SE,Electric Power & Gas Utilities,31-Dec-16,Climate Risk,S&P 500,View Report
Add,"STANLEY BLACK & DECKER, INC.",SWK,Manufacturing & Industrial Materials,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,STAPLES INC,SPLS,Retail,28-Jan-17,Climate Risk,S&P 500,No disclosure
Add,STATE STREET CORP,STT,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,View Report
Add,STERICYCLE INC,SRCL,Waste Management,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,STRYKER CORP,SYK,Medical Equipment Manufacturing,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,SUNTRUST BANKS INC,STI,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,SYMANTEC CORP,SYMC,Information Technology,31-Mar-17,Climate Risk,S&P 500,No disclosure
Add,SYNCHRONY FINANCIAL,SYF,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,SYSCO CORP,SYY,Wholesale,1-Jul-17,Climate Risk,S&P 500,View Report
Add,TARGET CORP,TGT,Retail,28-Jan-17,Climate Risk,S&P 500,No disclosure
Add,TECHNIPFMC PLC,FTI,Oil & Gas,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,TEGNA INC,GCI,Telecommunications,31-Dec-16,Climate Risk,S&P 500,View Report
Add,TENET HEALTHCARE CORP,THC,Pharmaceuticals/Health Care,31-Dec-16,Climate Risk,S&P 500,View Report
Add,TERADATA CORP /DE/,TDC,Information Technology,31-Dec-16,Climate Risk,S&P 500,View Report
Add,TESORO CORP /NEW/,TSO,Oil & Gas,31-Dec-16,Climate Risk,S&P 500,View Report
Add,TEXAS INSTRUMENTS INC,TXN,Electronics,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,TEXTRON INC,TXT,Aerospace & Defense,31-Dec-16,Climate Risk,S&P 500,View Report
Add,THERMO FISHER SCIENTIFIC INC.,TMO,Medical Equipment Manufacturing,31-Dec-16,Climate Risk,S&P 500,View Report
Add,TIFFANY & CO,TIF,Retail,31-Jan-17,Climate Risk,S&P 500,View Report
Add,TIME WARNER INC.,TWX,Media,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,TJX COMPANIES INC /DE/,TJX,Apparel & Textiles,28-Jan-17,Climate Risk,S&P 500,View Report
Add,TORCHMARK CORP,TMK,Insurance Services,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,TOTAL SYSTEM SERVICES INC,TSS,Services - Business-Related,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,TRACTOR SUPPLY CO /DE/,TSCO,Retail,31-Dec-16,Climate Risk,S&P 500,View Report
Add,TRANSOCEAN LTD.,RIG,Oil & Gas,31-Dec-16,Climate Risk,S&P 500,View Report
Add,"TRAVELERS COMPANIES, INC.",TRV,Insurance Services,31-Dec-16,Climate Risk,S&P 500,View Report
Add,"TRIPADVISOR, INC.",TRIP,Information Technology,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,"TWENTY-FIRST CENTURY FOX, INC.",FOX,Media,30-Jun-17,Climate Risk,S&P 500,No disclosure
Add,"UDR, INC.",UDR,Real Estate Finance/Property Development/Construction,31-Dec-16,Climate Risk,S&P 500,View Report
Add,"ULTA BEAUTY, INC.",ULTA,Retail,28-Jan-17,Climate Risk,S&P 500,View Report
Add,"UNDER ARMOUR, INC.",UA,Apparel & Textiles,31-Dec-16,Climate Risk,S&P 500,View Report
Add,UNION PACIFIC CORP,UNP,Transportation,31-Dec-16,Climate Risk,S&P 500,View Report
Add,"UNITED CONTINENTAL HOLDINGS, INC.",UAL,Transportation,31-Dec-16,Climate Risk,S&P 500,View Report
Add,UNITED PARCEL SERVICE INC,UPS,Transportation,31-Dec-16,Climate Risk,S&P 500,View Report
Add,UNITED RENTALS INC /DE,URI,Services - Other,31-Dec-16,Climate Risk,S&P 500,View Report
Add,UNITED TECHNOLOGIES CORP /DE/,UTX,Aerospace & Defense,31-Dec-16,Climate Risk,S&P 500,View Report
Add,UNITEDHEALTH GROUP INC,UNH,Insurance Services,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,UNIVERSAL HEALTH SERVICES INC,UHS,Pharmaceuticals/Health Care,31-Dec-16,Climate Risk,S&P 500,View Report
Add,UNUM GROUP,UNM,Insurance Services,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,URBAN OUTFITTERS INC,URBN,Apparel & Textiles,31-Jan-17,Climate Risk,S&P 500,View Report
Add,US BANCORP /DE/,USB,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,V F CORP,VFC,Apparel & Textiles,31-Dec-16,Climate Risk,S&P 500,View Report
Add,VALERO ENERGY CORP/TX,VLO,Oil & Gas,31-Dec-16,Climate Risk,S&P 500,View Report
Add,VENTAS INC,VTR,Real Estate Finance/Property Development/Construction,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,VERISIGN INC/CA,VRSN,Information Technology,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,"VERISK ANALYTICS, INC.",VRSK,Information Technology,31-Dec-16,Climate Risk,S&P 500,View Report
Add,VERIZON COMMUNICATIONS INC,VZ,Telecommunications,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,VERTEX PHARMACEUTICALS INC / MA,VRTX,Pharmaceuticals/Health Care,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,VULCAN MATERIALS CO,VMC,Mining,31-Dec-16,Climate Risk,S&P 500,View Report
Add,WAL MART STORES INC,WMT,Retail,31-Jan-17,Climate Risk,S&P 500,View Report
Add,"WALGREENS BOOTS ALLIANCE, INC.",WBA,Retail,31-Aug-17,Climate Risk,S&P 500,View Report
Add,WASTE MANAGEMENT INC,WM,Waste Management,31-Dec-16,Climate Risk,S&P 500,View Report
Add,WATERS CORP /DE/,WAT,Medical Equipment Manufacturing,31-Dec-16,Climate Risk,S&P 500,View Report
Add,"WEC ENERGY GROUP, INC.",WEC,Electric Power & Gas Utilities,31-Dec-16,Climate Risk,S&P 500,View Report
Add,WELLS FARGO & COMPANY/MN,WFC,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,WELLTOWER INC.,HCN,Real Estate Finance/Property Development/Construction,31-Dec-16,Climate Risk,S&P 500,View Report
Add,WESTERN DIGITAL CORP,WDC,Information Technology,30-Jun-17,Climate Risk,S&P 500,View Report
Add,WESTERN UNION CO,WU,Services - Business-Related,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,WEYERHAEUSER CO,WY,Real Estate Finance/Property Development/Construction,31-Dec-16,Climate Risk,S&P 500,View Report
Add,WHIRLPOOL CORP /DE/,WHR,Electronics,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,WILLIAMS COMPANIES INC,WMB,Electric Power & Gas Utilities,31-Dec-16,Climate Risk,S&P 500,View Report
Add,WILLIS TOWERS WATSON PLC,WLTW,Insurance Services,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,"WINDSTREAM HOLDINGS, INC.",WIN,Telecommunications,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,WYNDHAM WORLDWIDE CORP,WYN,Hospitality & Tourism,31-Dec-16,Climate Risk,S&P 500,View Report
Add,WYNN RESORTS LTD,WYNN,Hospitality & Tourism,31-Dec-16,Climate Risk,S&P 500,View Report
Add,XCEL ENERGY INC,XEL,Electric Power & Gas Utilities,31-Dec-16,Climate Risk,S&P 500,View Report
Add,XEROX CORP,XRX,Services - Business-Related,31-Dec-16,Climate Risk,S&P 500,View Report
Add,XILINX INC,XLNX,Electronics,1-Apr-17,Climate Risk,S&P 500,View Report
Add,XL GROUP LTD,XL,Insurance Services,31-Dec-16,Climate Risk,S&P 500,View Report
Add,XYLEM INC.,XYL,Manufacturing & Industrial Materials,31-Dec-16,Climate Risk,S&P 500,View Report
Add,YAHOO INC,YHOO,Information Technology,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,YUM BRANDS INC,YUM,Food & Beverages,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,"ZIMMER BIOMET HOLDINGS, INC.",ZBH,Medical Equipment Manufacturing,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,ZIONS BANCORPORATION /UT/,ZION,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,View Report
Add,ZOETIS INC.,ZTS,Pharmaceuticals/Health Care,31-Dec-16,Climate Risk,S&P 500,View Report